element,domain,node0,node1,node2,area_m2,quality,heat_flux_W_m2,electric_field_V_m,joule_W_m3
1718,"plate",824,178,825,0.000002824307644925053,0.9742190109959167,12805.480212011904,12.931790611705646,1810126.9315247796
1719,"plate",178,792,825,0.0000033065843849625296,0.9778961404755327,8066.703751677928,10.960568186878495,1298192.1004223214
1720,"plate",670,694,693,0.000002706329375,1,354.76494412088954,2.8024050085952714,84606.76022361408
1721,"plate",694,717,693,0.000002706329375,1,309.0386163309065,2.4944951769483414,67035.30809602735
1722,"plate",717,174,693,0.0000015648084687500075,0.7300765515352526,138.5761185649885,0.9620368872138776,9970.918762545942
1723,"plate",174,197,693,0.0000012830046039396218,0.7901717633753236,458.69503839013385,2.4303984420582676,63639.50206179568
1724,"plate",197,670,693,0.000002388089534025585,0.9569598813738182,486.92472985635396,2.58616818189258,72058.36084705242
1725,"plate",147,146,967,0.0000015625000000000007,0.8658451507449968,36116.22879361905,7.951181981889491,751747.8438491417
1726,"plate",968,1006,967,0.0000027063293750000006,1,34964.911834953025,8.042088975607431,761982.4076460383
1727,"plate",1006,147,967,0.000002156959218750017,0.9062863255276615,36281.16994978823,8.070748297088839,771587.8721537447
1728,"plate",146,929,967,0.00000211187015624998,0.8899495880180707,35351.70573904697,7.842066480619936,728666.1893346838
1729,"plate",929,968,967,0.0000027063293749999917,1,34953.13493174499,8.045350758885368,762759.5779916954
1730,"plate",500,462,501,0.0000027063293750000006,1,28584.56762211941,9.027799093294616,922170.2374434152
1731,"plate",539,500,501,0.0000027063293749999964,1.0000000000000002,28880.02814308318,9.16170437610233,950708.2014505706
1732,"plate",502,540,501,0.0000027063293749999964,1.0000000000000002,28607.642620515722,9.981657162469364,1119355.7259822288
1733,"plate",463,502,501,0.0000027063293750000006,0.9999999999999998,28168.429834795945,9.77701059831794,1072769.244700651
1734,"plate",540,539,501,0.0000027063293749999964,1.0000000000000002,28258.105370523183,9.148437022927775,944657.6272793405
1735,"plate",462,463,501,0.0000027063293750000006,1,28409.33965303499,9.581958699302245,1034124.9827529872
1736,"plate",237,276,275,0.0000027063293750000023,1.0000000000000002,13261.463031143001,10.430009399563604,1181772.2383521956
1737,"plate",276,314,275,0.0000027063293750000023,1.0000000000000002,13262.597495097729,10.430021658681728,1181771.7066680598
1738,"plate",314,313,275,0.0000027063293750000023,1.0000000000000002,14836.15102621486,10.47668586375233,1194742.829161239
1739,"plate",236,237,275,0.0000027063293750000023,1.0000000000000002,14694.289759889465,10.382477187089295,1173343.654787484
1740,"plate",313,274,275,0.0000027063293750000023,1.0000000000000002,16196.525362010638,10.381716171279686,1175759.7367862042
1741,"plate",274,236,275,0.0000027063293750000023,1.0000000000000002,16199.672714148575,10.381537617120614,1175706.9513424248
1742,"plate",16,237,15,0.0000013531646875000012,0.7999999979024508,13247.360707076326,10.401594335484697,1175342.7064433547
1743,"plate",237,236,15,0.0000013531646875000012,0.7999999979024509,14712.905326871225,10.382470166234063,1173340.5554065732
1744,"plate",236,14,15,0.000001353164687500001,0.7999999979024506,16146.999989559665,10.344158051224014,1167245.3482749427
1745,"padL",108,109,963,0.0000015625000000000013,0.8658451507449969,36738.00745207118,1.1507571891447697,105939.36866946968
1746,"padL",964,1003,963,0.0000027063293750000015,0.9999999999999998,36607.36159880224,1.1523763566801972,106237.701394842
1747,"padL",1003,108,963,0.000002156959218750018,0.9062863255276613,37075.21241528462,1.1626848166406873,108146.8786277431
1748,"padL",109,926,963,0.0000021118701562499812,0.8899495880180707,36307.13604756316,1.138251770928241,103649.36752170212
1749,"padL",926,964,963,0.0000027063293749999934,1,36607.69634781288,1.152435657365807,106248.63554945277
1750,"plate",513,551,512,0.000002706329375,1,3620.3417842370727,9.502947640732252,973530.6859311041
1751,"plate",474,513,512,0.0000027063293750000044,1,3532.591834496552,9.453147261794165,963410.9710567547
1752,"plate",473,474,512,0.0000027063293750000044,1,2576.18651164873,9.710316468890264,1016129.3905037055
1753,"plate",551,550,512,0.000002706329375,1,1983.4560043335641,8.62764765547488,802116.7054967539
1754,"plate",304,266,305,0.0000027063293749999985,1,34348.61643910592,8.517184160381422,845058.5983887134
1755,"plate",343,304,305,0.0000027063293749999985,1.0000000000000002,34344.88495015992,8.520530912089741,845846.5327788999
1756,"plate",306,344,305,0.0000027063293750000023,1.0000000000000002,32658.782923459345,8.729539769893766,878943.6772979978
1757,"plate",267,306,305,0.0000027063293750000023,1.0000000000000002,32659.85366862095,8.723636558830353,877594.3581426811
1758,"plate",344,343,305,0.0000027063293749999985,1,33273.18211912852,8.53764810384651,844996.3327743094
1759,"plate",266,267,305,0.0000027063293749999985,1,33633.9725586489,8.66898585411551,870906.7766481653
1760,"padR",960,923,961,0.0000027063293750000044,0.9999999999999998,35888.31447041169,1.142024428439505,104337.58361220622
1761,"padR",1000,960,961,0.0000027063293749999955,1,35880.75369573985,1.1416694161027054,104272.72445314338
1762,"padR",1001,1000,961,0.0000027063293749999955,1,36501.09656544425,1.1578148543046374,107242.81894787749
1763,"padR",923,924,961,0.0000027063293750000044,1,35248.811070861135,1.1170197108174345,99818.6427483732
1764,"padR",924,962,961,0.0000027063293750000044,1,35964.36655605223,1.136272776646305,103289.2658358003
1765,"padR",962,1001,961,0.0000027063293749999955,0.9999999999999998,35963.06905280293,1.1361689508183912,103270.39078430111
1766,"plate",280,281,319,0.0000027063293750000023,1.0000000000000002,1505.592866698303,10.358109994692724,1155965.9935559852
1767,"plate",358,357,319,0.0000027063293750000023,1.0000000000000002,1470.337842175615,10.24573053709785,1131015.2443597137
1768,"plate",357,318,319,0.0000027063293750000023,1.0000000000000002,415.27541328477673,10.313678703211451,1145953.3841999867
1769,"plate",318,280,319,0.0000027063293750000023,1.0000000000000002,412.8873296135571,10.313678703211451,1145953.6058330152
1770,"padL",146,928,145,0.0000031250000000000035,0.9817261112129915,35900.81883455867,1.1512821597852838,106036.04891518943
1771,"padL",928,889,145,0.0000017382885937500138,0.7151051131452827,35509.19242967027,1.1384997582449095,103694.53596189737
1772,"padL",889,144,145,0.0000015624999999999984,0.8137250602214215,35159.08666738515,1.127460920380736,101693.45015886209
1773,"plate",144,890,145,0.0000015624999999999963,0.813725060221421,34507.27915680178,7.588112314768911,684913.7118648986
1774,"plate",890,929,145,0.000001738288593750012,0.7151051131452826,34746.44087846296,7.6855534535947445,700023.1638492275
1775,"plate",929,146,145,0.0000031250000000000014,0.9817261112129917,35052.24133810113,7.802166807206745,722663.8319595129
1776,"plate",96,1125,95,0.000003282271562500032,0.9816710084322948,30144.992081398606,9.139531201301313,949574.1574963792
1777,"plate",1126,94,95,0.0000032822715625000322,0.981671008432295,28251.31454323616,9.388056304466991,993330.4324041618
