node,x_m,y_m,temperature_K,potential_V
91,0.032499999999999994,0.06,338.9352976871421,0.5814452481561384
92,0.029999999999999995,0.06,335.5674866107292,0.6066355842187791
93,0.027499999999999993,0.06,331.81954596013315,0.6313156869638155
94,0.025,0.06,327.72384838637873,0.6554080973962758
95,0.0225,0.06,323.3095861306624,0.6788762582919031
96,0.019999999999999997,0.06,318.5994418529119,0.7017232957920534
97,0.017499999999999995,0.06,313.607774966693,0.7239849809659331
98,0.015000000000000003,0.06,308.34020920353356,0.745720246920449
99,0.0125,0.06,302.7941509946215,0.7670020006916544
100,0.009999999999999998,0.06,296.9592110496565,0.7879094192725719
101,0.007499999999999996,0.06,296.0041765068545,0.7909730881775602
102,0.0050000000000000044,0.06,295.0537364026125,0.7940019767426397
103,0.0025000000000000022,0.06,294.1035923145322,0.797006966126473
104,0,0.06,293.15,0.8
105,0,0.057499999999999996,293.15,0.8
106,0,0.05499999999999999,293.15,0.8
107,0,0.052500000000000005,293.15,0.8
108,0,0.05,293.15,0.8
109,0,0.0475,293.15,0.8
110,0,0.045,293.15,0.8
111,0,0.042499999999999996,293.15,0.8
112,0,0.04000000000000001,293.15,0.8
113,0,0.037500000000000006,293.15,0.8
114,0,0.034999999999999996,293.15,0.8
115,0,0.0325,293.15,0.8
116,0,0.03,293.15,0.8
117,0,0.027500000000000004,293.15,0.8
118,0,0.024999999999999994,293.15,0.8
119,0,0.0225,293.15,0.8
120,0,0.020000000000000004,293.15,0.8
121,0,0.017499999999999998,293.15,0.8
122,0,0.015000000000000003,293.15,0.8
123,0,0.0125,293.15,0.8
124,0,0.009999999999999998,293.15,0.8
125,0,0.007499999999999996,293.15,0.8
126,0,0.0050000000000000044,293.15,0.8
127,0,0.0025000000000000022,293.15,0.8
128,0.01,0.0025,296.95070195762383,0.7879319677959291
129,0.01,0.005,296.9287894583046,0.7880069229046155
130,0.01,0.0075,296.89092662305774,0.7881314839063484
131,0.01,0.01,296.8359023648919,0.7882985848921654
132,0.01,0.0125,296.77276354012184,0.7885143917739746
133,0.01,0.015,296.6953265037543,0.7887622668877691
134,0.01,0.0175,296.61135451321735,0.7890349325056156
135,0.01,0.02,296.5265691343519,0.7893111497393114
136,0.01,0.0225,296.44457593614163,0.7895688728435883
137,0.01,0.025,296.3820081515579,0.7897795022079699
138,0.01,0.027499999999999997,296.33800710996155,0.7899202262025995
139,0.01,0.03,296.3221556942048,0.7899691355966704
140,0.01,0.032499999999999994,296.33733519962107,0.7899208389601979
141,0.01,0.035,296.3809335840957,0.7897808911905446
142,0.01,0.037500000000000006,296.4468418995109,0.7895698826076837
143,0.01,0.04,296.52397058594397,0.7893113914022929
144,0.01,0.0425,296.6117573541723,0.7890357853481499
145,0.01,0.045,296.69524152484405,0.7887638697462035
146,0.01,0.0475,296.77140309145,0.7885138824855085
147,0.01,0.05,296.83714926280294,0.7883005096162882
148,0.01,0.052500000000000005,296.8904816724788,0.7881304075111721
149,0.01,0.05499999999999999,296.9288078480318,0.7880085786896317
150,0.01,0.057499999999999996,296.94909059215576,0.7879308570028257
151,0.09,0.057499999999999996,296.9490905921452,0.01206914299712395
152,0.09,0.05499999999999999,296.92880784802105,0.01199142131031835
153,0.09,0.052500000000000005,296.89048167246744,0.011869592488778342
154,0.09,0.05,296.8371492627913,0.011699490383663393
155,0.09,0.0475,296.771403091438,0.011486117514443082
156,0.09,0.045,296.6952415248323,0.011236130253748583
157,0.09,0.042499999999999996,296.6117573541612,0.010964214651802988
158,0.09,0.04000000000000001,296.523970585933,0.010688608597660588
159,0.09,0.037500000000000006,296.4468418995002,0.010430117392269716
160,0.09,0.034999999999999996,296.38093358408526,0.010219108809408316
161,0.09,0.0325,296.3373351996117,0.0100791610397543
162,0.09,0.03,296.3221556941949,0.0100308644032815
163,0.09,0.027500000000000004,296.3380071099523,0.01007977379735162
164,0.09,0.024999999999999994,296.3820081515482,0.010220497791979087
165,0.09,0.0225,296.4445759361317,0.010431127156358163
166,0.09,0.020000000000000004,296.5265691343415,0.01068885026062852
167,0.09,0.017499999999999998,296.61135451320627,0.010965067494314817
168,0.09,0.015000000000000003,296.69532650374515,0.011237733112150181
169,0.09,0.0125,296.7727635401178,0.011485608225936568
170,0.09,0.009999999999999998,296.8359023648656,0.011701415107742055
171,0.09,0.007499999999999996,296.89092662301886,0.011868516093564086
172,0.09,0.0050000000000000044,296.9287894579839,0.01199307709529854
173,0.09,0.0025000000000000022,296.9507019583308,0.012068032203987708
174,0.044000000000000004,0.03,350.0696900760419,0.41527489041948684
175,0.04369333243660162,0.03232937140592269,350.02128211293655,0.4193098819115483
176,0.042794228634059954,0.034499999999999996,349.79234437492863,0.43200121222800886
177,0.04136396103067893,0.036363961030678925,349.1389529565869,0.4538148878779434
178,0.03950000000000001,0.03779422863405995,347.77620951746377,0.48336058372665663
179,0.03732937140592269,0.03869333243660161,345.2827242513568,0.5193086351984274
180,0.035,0.039,341.51354436823704,0.5588803073192808
181,0.032670628594077315,0.03869333243660161,336.6499484643864,0.5986161257215284
182,0.030500000000000006,0.03779422863405995,331.1687408505869,0.6352132605496094
183,0.028636038969321077,0.036363961030678925,325.75906491802635,0.6659642592705425
184,0.027205771365940053,0.034499999999999996,321.11959687948814,0.6896919322853698
185,0.02630666756339839,0.03232937140592269,318.0379526335747,0.7043073895832644
186,0.026000000000000002,0.03,316.96943852088197,0.7091837944746804
187,0.02630666756339839,0.027670628594077307,318.12428837928496,0.7039051603245571
188,0.027205771365940053,0.025500000000000002,321.14802557331865,0.6895596210479735
189,0.02863603896932107,0.023636038969321073,325.7025845265928,0.6663595138712726
190,0.0305,0.02220577136594005,331.1878441565048,0.6349987645871419
191,0.032670628594077315,0.021306667563398385,336.6658238434883,0.5983960014705009
192,0.035,0.020999999999999998,341.53243434638307,0.5589025642502156
193,0.037329371405922684,0.02130666756339838,345.2521938075234,0.519514104004752
194,0.03950000000000001,0.02220577136594005,347.7534295854608,0.4835132486736782
195,0.04136396103067893,0.02363603896932107,349.1682683531699,0.4534368477447651
196,0.04279422863405995,0.025499999999999995,349.7902042919182,0.4321339847154945
197,0.04369333243660162,0.027670628594077304,350.0153336268076,0.4196933917755542
198,0.07400000000000001,0.03,316.9694385208262,0.09081620552492199
199,0.07369333243660162,0.03232937140592269,318.0379526335194,0.09569261041633925
200,0.07279422863405995,0.034499999999999996,321.1195968794293,0.11030806771420032
201,0.07136396103067894,0.036363961030678925,325.7590649179623,0.13403574072896474
202,0.0695,0.03779422863405995,331.1687408505199,0.16478673944981517
203,0.06732937140592268,0.03869333243660161,336.64994846431966,0.20138387427779922
204,0.065,0.039,341.5135443681753,0.2411196926799493
205,0.06267062859407732,0.03869333243660161,345.2827242513041,0.28069136480071244
206,0.0605,0.03779422863405995,347.7762095174243,0.3166394162724057
207,0.05863603896932107,0.036363961030678925,349.13895295656073,0.3461851121210534
208,0.05720577136594005,0.034499999999999996,349.7923443749115,0.36799878777093326
209,0.05630666756339839,0.03232937140592269,350.02128211292626,0.3806901180873538
210,0.055999999999999994,0.03,350.06969007603374,0.38472510957938905
211,0.05630666756339839,0.027670628594077307,350.01533362679737,0.3803066082233114
212,0.05720577136594005,0.025500000000000002,349.7902042919005,0.36786601528337476
213,0.05863603896932107,0.023636038969321073,349.1682683531353,0.34656315225411877
214,0.0605,0.02220577136594005,347.75342958540944,0.3164867513252466
215,0.06267062859407732,0.021306667563398385,345.25219380745864,0.28048589599424384
216,0.065,0.020999999999999998,341.53243434630906,0.2410974357489177
217,0.06732937140592268,0.02130666756339838,336.6658238434086,0.20160399852870345
218,0.0695,0.02220577136594005,331.1878441564266,0.1650012354121732
219,0.07136396103067894,0.02363603896932107,325.70258452651916,0.13364048612812604
220,0.07279422863405995,0.025499999999999995,321.14802557325316,0.11044037895152317
221,0.07369333243660162,0.027670628594077304,318.1242883792252,0.09609483967500718
222,0.00125,0.00108253175,293.6271891796711,0.7985047142147321
223,0.00375,0.00108253175,294.5784811924143,0.7955085285168242
224,0.00625,0.00108253175,295.5280886731179,0.7924943377386675
225,0.008749999999999999,0.00108253175,296.4797960388707,0.7894498290080388
226,0.01125,0.00108253175,299.903208873235,0.7774983478937609
227,0.013749999999999998,0.00108253175,305.59613499443367,0.7564294516810613
228,0.016249999999999997,0.00108253175,311.0017473408509,0.7349398290341963
229,0.01875,0.00108253175,316.1307358269671,0.7129572152970229
230,0.021249999999999998,0.00108253175,320.9825422638903,0.6904147019264304
231,0.023749999999999997,0.00108253175,325.5473909988216,0.6672628348728172
232,0.026249999999999996,0.00108253175,329.80666506599323,0.6434801059492191
233,0.028749999999999998,0.00108253175,333.7340038609665,0.619082070987407
234,0.03125,0.00108253175,337.29788432109996,0.5941262931231699
